Date,farming products,petroleum distributors,petroleum products,foodservice,wholesale beverage,
December 2003,0,0,0,0,0,
January 2004,0,0,0,0,0,
February 2004,0,0,0,0,0,
March 2004,0,0,0,0,0,
April 2004,0,0,0,83,0,
May 2004,0,0,0,74,0,
June 2004,0,0,0,74,0,
July 2004,0,0,0,74,0,
August 2004,0,0,0,74,0,
September 2004,0,0,0,74,0,
October 2004,0,0,0,80,0,
November 2004,0,0,0,87,0,
December 2004,0,0,0,93,0,
January 2005,0,0,0,100,0,
February 2005,0,0,0,64,0,
March 2005,0,0,0,64,0,
April 2005,0,0,0,64,0,
May 2005,0,0,0,81,0,
June 2005,0,0,0,55,0,
July 2005,0,0,0,55,0,
August 2005,0,0,0,72,0,
September 2005,0,0,0,68,0,
October 2005,0,0,0,60,0,
November 2005,0,0,0,60,0,
December 2005,0,0,0,60,0,
January 2006,0,0,0,72,0,
February 2006,0,0,0,30,0,
March 2006,0,0,0,37,0,
April 2006,0,0,0,36,0,
May 2006,0,0,0,63,0,
June 2006,0,0,0,41,0,
July 2006,0,0,0,38,0,
August 2006,0,0,0,64,0,
September 2006,0,0,0,56,0,
October 2006,0,0,0,51,0,
November 2006,0,0,0,31,0,
December 2006,0,0,0,56,0,
January 2007,0,0,0,48,0,
February 2007,0,0,0,35,0,
March 2007,0,0,0,46,0,
April 2007,0,0,0,44,0,
May 2007,0,0,0,28,0,
June 2007,0,0,0,33,0,
July 2007,0,0,0,46,0,
August 2007,0,0,0,33,0,
September 2007,0,0,0,43,0,
October 2007,0,0,0,43,0,
November 2007,0,0,0,30,0,
December 2007,0,0,0,44,0,
January 2008,0,0,0,34,0,
February 2008,0,0,0,41,0,
March 2008,0,0,0,43,0,
April 2008,0,0,0,41,0,
May 2008,0,0,0,42,0,
June 2008,0,0,0,50,0,
July 2008,0,0,0,42,0,
August 2008,0,0,0,37,0,
September 2008,0,0,0,46,0,
October 2008,0,0,17,53,0,
November 2008,0,0,0,32,0,
December 2008,0,0,0,49,0,
January 2009,0,0,0,27,0,
February 2009,0,0,0,51,0,
March 2009,0,0,0,42,0,
April 2009,0,0,0,34,0,
May 2009,0,0,0,56,0,
June 2009,0,0,0,40,0,
July 2009,0,0,0,34,0,
August 2009,0,0,0,38,0,
September 2009,0,0,0,43,0,
October 2009,0,0,0,52,0,
November 2009,0,0,0,35,0,
December 2009,0,0,0,44,0,
January 2010,0,0,0,45,0,
February 2010,0,0,14,45,0,
March 2010,0,0,14,53,0,
April 2010,0,0,14,37,0,
May 2010,0,0,14,30,0,
June 2010,0,0,11,42,0,
July 2010,0,0,11,40,0,
August 2010,0,0,11,34,0,
September 2010,0,0,13,40,0,
October 2010,0,0,14,38,0,
November 2010,0,0,15,26,0,
December 2010,0,0,16,48,0,
January 2011,0,0,17,30,0,
February 2011,0,0,12,37,0,
March 2011,0,0,9,34,0,
April 2011,0,0,9,37,0,
May 2011,0,0,8,28,0,
June 2011,0,0,0,32,0,
July 2011,0,0,0,34,0,
August 2011,0,0,0,29,0,
September 2011,0,0,0,39,0,
October 2011,0,0,0,34,0,
November 2011,0,0,8,30,0,
December 2011,0,0,9,33,0,
January 2012,0,0,9,33,0,
February 2012,0,0,9,30,0,
March 2012,0,0,7,31,0,
April 2012,0,0,7,31,0,
May 2012,0,0,10,27,0,
June 2012,0,0,7,28,0,
July 2012,0,0,7,30,0,
August 2012,0,0,7,37,0,
September 2012,0,0,9,31,0,
October 2012,0,0,8,36,0,
November 2012,0,0,8,19,0,
December 2012,0,0,6,38,0,
January 2013,0,0,7,29,0,
February 2013,0,0,9,30,0,
March 2013,0,0,11,36,0,
April 2013,0,0,7,29,0,
May 2013,0,0,8,25,0,
June 2013,0,0,6,27,0,
July 2013,0,0,8,23,0,
August 2013,0,0,10,25,0,
September 2013,0,0,9,27,0,
October 2013,0,0,7,27,0,
November 2013,0,0,8,19,0,
December 2013,0,0,7,29,0,
January 2014,0,0,7,34,0,
February 2014,0,0,7,33,0,
March 2014,0,0,6,30,0,
April 2014,0,0,8,35,0,
May 2014,0,0,9,36,0,
June 2014,0,0,7,36,0,
July 2014,0,0,6,25,0,
August 2014,0,0,6,33,0,
September 2014,0,0,7,29,0,
October 2014,0,0,10,40,0,
November 2014,0,0,7,30,0,
December 2014,0,0,7,27,0,
January 2015,0,0,7,30,0,
February 2015,0,0,8,36,0,
March 2015,0,0,5,30,0,
April 2015,0,0,6,38,0,
May 2015,0,0,6,33,0,
June 2015,0,0,6,33,0,
July 2015,0,0,7,28,0,
August 2015,0,0,7,27,0,
September 2015,0,0,7,28,0,
October 2015,0,0,0,34,0,
